type dayOfWeek location
"Aid Response" 0 "(47.612715999999999, -122.345399)"
"Aid Response" 5 "(47.578336999999998, -122.296188)"
"Trans to AMR" 5 "(47.600194000000002, -122.330541)"
"Aid Response" 5 "(47.613497000000002, -122.346355)"
"Motor Vehicle Accident Freeway" 5 "(47.571221000000001, -122.343788)"
"Trans to AMR" 5 "(47.623716999999999, -122.360635)"
"Investigate Out Of Service" 5 "(47.579503000000003, -122.321398)"
"Aid Response" 5 "(47.661532999999999, -122.32072700000001)"
"Aid Response" 5 "(47.625700999999999, -122.31805900000001)"
"Medic Response" 5 "(47.507981999999998, -122.26308299999999)"
"Assault w/Weap 7 per Rule" 5 "(47.537635000000002, -122.269322)"
"Aid Response" 5 "(47.617761999999999, -122.333957)"
"Aid Response" 5 "(47.720050999999998, -122.35554)"
"Rescue Lock In/Out" 5 "(47.671809000000003, -122.312279)"
"Aid Response" 5 "(47.667070000000002, -122.301946)"
"Medic Response" 5 "(47.662140999999998, -122.353981)"
"Medic Response" 5 "(47.587373999999997, -122.30623300000001)"
"Medic Response" 5 "(47.602984999999997, -122.328535)"
"Illegal Burn" 5 "(47.564782000000001, -122.359044)"
"Medic Response" 5 "(47.708571999999997, -122.319754)"
"Medic Response" 5 "(47.708494000000002, -122.28807500000001)"
"Aid Response" 5 "(47.620123, -122.320876)"
"Aid Response" 5 "(47.676259999999999, -122.327338)"
"Aid Response" 5 "(47.680512, -122.32468299999999)"
"""Assault w/Weapons" 5 "(47.546056999999998, -122.38574)"
"Aid Response" 5 "(47.698326999999999, -122.291944)"
"Rubbish Fire" 5 "(47.603982000000002, -122.33558600000001)"
"Motor Vehicle Accident" 5 "(47.609220999999998, -122.335775)"
"Aid Response" 5 "(47.609802000000002, -122.324029)"
"Aid Response" 5 "(47.611300999999997, -122.325164)"
"Aid Response" 5 "(47.663074999999999, -122.30546200000001)"
"Aid Response" 5 "(47.613253, -122.342339)"
"Automatic Fire Alarm Resd" 5 "(47.658000999999999, -122.28395399999999)"
"Aid Response" 5 "(47.608840000000001, -122.339968)"
"Aid Response" 5 "(47.558276999999997, -122.302555)"
"Aid Response" 5 "(47.616342000000003, -122.32678799999999)"
"Aid Response" 5 "(47.562710000000003, -122.396219)"
"Medic Response" 5 "(47.608911999999997, -122.340096)"
"Trans to AMR" 5 "(47.668661999999998, -122.370893)"
"Medic Response" 5 "(47.734129000000003, -122.344004)"
"Medic Response" 5 "(47.547668000000002, -122.26989500000001)"
"Aid Response" 5 "(47.552264000000001, -122.29043900000001)"
"Aid Response" 5 "(47.597521999999998, -122.32897199999999)"
"Aid Response" 5 "(47.614109999999997, -122.34974)"
"Medic Response" 5 "(47.638776, -122.30051400000001)"
"Aid Response" 5 "(47.560747999999997, -122.28702699999999)"
"Aid Response" 5 "(47.667954000000002, -122.376216)"
"Aid Response" 5 "(47.640011999999999, -122.388988)"
"Aid Response" 5 "(47.608051000000003, -122.339309)"
"Motor Vehicle Accident" 5 "(47.624578, -122.35540399999999)"
"Medic Response" 5 "(47.664999999999999, -122.31694400000001)"
"""Hang-Up" 5 "(47.614787999999997, -122.342952)"
"Medic Response" 5 "(47.683141999999997, -122.319917)"
"Aid Response" 5 "(47.624578, -122.35540399999999)"
"Automatic Fire Alarm Resd" 5 "(47.570911000000002, -122.294405)"
"Aid Response" 5 "(47.615788999999999, -122.336507)"
"Aid Response" 5 "(47.624265000000001, -122.33428499999999)"
"Medic Response" 5 "(47.551960999999999, -122.283044)"
"Aid Response" 5 "(47.518783999999997, -122.34415799999999)"
"Aid Response" 5 "(47.655549000000001, -122.32777)"
"Auto Fire Alarm" 5 "(47.608946000000003, -122.333989)"
"Aid Response Yellow" 5 "(47.72343, -122.34816499999999)"
"Auto Fire Alarm" 5 "(47.600034000000001, -122.32739599999999)"
"""Medic Response" 5 "(47.540139000000003, -122.382007)"
"Automatic Fire Alarm Resd" 5 "(47.719901999999998, -122.328963)"
"Automatic Medical Alarm" 5 "(47.584234000000002, -122.299024)"
"Aid Response" 6 "(47.544297, -122.322473)"
"Aid Response" 6 "(47.708601999999999, -122.32458800000001)"
"Aid Response" 6 "(47.614113000000003, -122.31277300000001)"
"Aid Response" 6 "(47.600043999999997, -122.334219)"
"Aid Response" 6 "(47.639750999999997, -122.408979)"
"Aid Response" 6 "(47.732478, -122.338613)"
"Aid Response" 6 "(47.636386999999999, -122.27712)"
"Aid Response" 6 "(47.609211000000002, -122.312839)"
"Aid Response" 6 "(47.593860999999997, -122.333269)"
"Medic Response" 6 "(47.612985999999999, -122.30011)"
"Aid Response" 6 "(47.600816000000002, -122.33596300000001)"
"1RED 1 Unit" 6 "(47.667763999999998, -122.340081)"
"Aid Response" 6 "(47.600883000000003, -122.334182)"
"Trans to AMR" 6 "(47.620930999999999, -122.354128)"
"Aid Response" 6 "(47.551067000000003, -122.32814999999999)"
"Aid Response" 6 "(47.734127999999998, -122.345097)"
"Automatic Fire Alarm False" 6 "(47.645567999999997, -122.308779)"
"Medic Response" 6 "(47.652380000000001, -122.354474)"
"Medic Response" 6 "(47.659959999999998, -122.34221700000001)"
"Aid Response" 6 "(47.588033000000003, -122.32999100000001)"
"Water Job Minor" 6 "(47.541842000000003, -122.293543)"
"Medic Response" 6 "(47.602172000000003, -122.33086299999999)"
"Car Fire Freeway" 6 "(47.602936, -122.326094)"
"Aid Response" 6 "(47.588225999999999, -122.325408)"
"Medic Response" 6 "(47.609433000000003, -122.341832)"
"Fire in Single Family Res" 6 "(47.546582999999998, -122.38998100000001)"
"Trans to AMR" 6 "(47.732151000000002, -122.31541799999999)"
"Aid Response" 6 "(47.715893999999999, -122.328802)"
"Aid Response" 6 "(47.599288000000001, -122.301137)"
"Aid Response" 6 "(47.616819999999997, -122.30720100000001)"
"Medic Response" 6 "(47.633560000000003, -122.282673)"
"Medic Response" 6 "(47.599125000000001, -122.299888)"
"Aid Response" 6 "(47.556657000000001, -122.364265)"
"Trans to AMR" 6 "(47.70834, -122.28788900000001)"
"Medic Response" 6 "(47.721359, -122.296339)"
"Aid Response" 6 "(47.615473000000001, -122.34609399999999)"
"Aid Response" 6 "(47.673082999999998, -122.36941)"
"Aid Response" 6 "(47.605671000000001, -122.31678100000001)"
"Aid Response" 6 "(47.516755000000003, -122.265399)"
"Medic Response" 6 "(47.573020999999997, -122.381394)"
"Medic Response" 6 "(47.561849000000002, -122.310818)"
"Aid Response" 6 "(47.511403000000001, -122.37830200000001)"
"""Medic Response" 6 "(47.617140999999997, -122.352885)"
"Aid Response" 6 "(47.707037, -122.342039)"
"Medic Response" 6 "(47.723466999999999, -122.348159)"
"Aid Response" 6 "(47.637169999999998, -122.35694100000001)"
"Aid Response" 6 "(47.603237, -122.33794399999999)"
"Auto Fire Alarm" 6 "(47.613976999999998, -122.343441)"
"Aid Response" 6 "(47.602984999999997, -122.328535)"
"Aid Response" 6 "(47.615026999999998, -122.335199)"
"Aid Response Yellow" 6 "(47.620223000000003, -122.30578300000001)"
"Activated CO Detector" 6 "(47.572356999999997, -122.285067)"
"Automatic Fire Alarm Resd" 6 "(47.566313999999998, -122.28076299999999)"
"""Medic Response" 6 "(47.524548000000003, -122.355085)"
"Aid Response Yellow" 6 "(47.678049000000001, -122.289267)"
"Aid Response" 6 "(47.602688000000001, -122.318034)"
"Aid Response" 6 "(47.606623999999996, -122.33162799999999)"
"Aid Response" 6 "(47.602688000000001, -122.318101)"
"Aid Response" 6 "(47.594495000000002, -122.30600099999999)"
"Aid Response" 6 "(47.719586999999997, -122.350313)"
"Medic Response" 6 "(47.624606999999997, -122.36324)"
"Aid Response" 6 "(47.678339999999999, -122.32895000000001)"
"Aid Response" 6 "(47.592393999999999, -122.329049)"
"Motor Vehicle Accident" 6 "(47.657862999999999, -122.316667)"
"Aid Response" 6 "(47.544336999999999, -122.290043)"
"Aid Response" 6 "(47.701756000000003, -122.335022)"
"Aid Response" 6 "(47.694186000000002, -122.344565)"
"Automatic Fire Alarm Resd" 6 "(47.615343000000003, -122.285948)"
"Medic Response" 6 "(47.51923, -122.37047800000001)"
"Aid Response" 6 "(47.618811000000001, -122.335874)"
"Aid Response" 6 "(47.71217, -122.309847)"
"Aid Response Yellow" 6 "(47.617620000000002, -122.31013900000001)"
"Aid Response" 6 "(47.675866999999997, -122.31086000000001)"
"Aid Response" 6 "(47.705584000000002, -122.354116)"
"Aid Response" 6 "(47.571407999999998, -122.29100099999999)"
"Aid Response" 6 "(47.672230999999996, -122.31720199999999)"
"Aid Response" 6 "(47.717939000000001, -122.357252)"
"Aid Response" 6 "(47.618533999999997, -122.33848500000001)"
"Aid Response" 6 "(47.607390000000002, -122.332564)"
"Aid Response" 6 "(47.610385999999998, -122.310214)"
"Medic Response" 6 "(47.730248000000003, -122.293789)"
"Aid Response" 6 "(47.540317999999999, -122.286124)"
"Aid Response" 6 "(47.602114, -122.330809)"
"Aid Response" 6 "(47.597512999999999, -122.324996)"
"Automatic Medical Alarm" 6 "(47.689138, -122.39086500000001)"
"Medic Response" 6 "(47.504893000000003, -122.269578)"
"Aid Response" 6 "(47.564374999999998, -122.29573499999999)"
"Aid Response" 6 "(47.549686000000001, -122.278127)"
"Rescue Heavy" 6 "(47.579810999999999, -122.339421)"
"Medic Response" 6 "(47.708494000000002, -122.28807500000001)"
"Auto Fire Alarm" 6 "(47.623384999999999, -122.32092799999999)"
"Aid Response" 6 "(47.603588000000002, -122.32294899999999)"
"Trans to AMR" 6 "(47.513511999999999, -122.278946)"
"Aid Response" 6 "(47.723244000000001, -122.357499)"
"""Hang-Up" 6 "(47.616442999999997, -122.310151)"
"Car Fire" 6 "(47.719838000000003, -122.32413099999999)"
"Aid Response" 6 "(47.626322000000002, -122.34886299999999)"
"Aid Response Yellow" 6 "(47.723489999999998, -122.33418500000001)"
"Medic Response" 6 "(47.719673999999998, -122.35553899999999)"
"""Medic Response" 6 "(47.640309000000002, -122.324676)"
"Aid Response" 6 "(47.709994999999999, -122.32295999999999)"
"Aid Response" 6 "(47.616442999999997, -122.310151)"
"Aid Response" 6 "(47.692418000000004, -122.355321)"
"Aid Response" 6 "(47.602085000000002, -122.330783)"
"Aid Response" 6 "(47.652642999999998, -122.30305300000001)"
"""Hang-Up" 6 "(47.714075000000001, -122.32876)"
"Aid Response" 6 "(47.639353999999997, -122.278425)"
"Aid Response" 6 "(47.537953999999999, -122.361092)"
"Aid Response" 6 "(47.621988000000002, -122.32090599999999)"
"Aid Response" 6 "(47.542233000000003, -122.272638)"
"Aid Response" 6 "(47.661318999999999, -122.320728)"
"Medic Response" 6 "(47.606444000000003, -122.325563)"
"Aid Response" 6 "(47.535514999999997, -122.36216)"
"Aid Response" 6 "(47.617173000000001, -122.33310299999999)"
"Medic Response" 6 "(47.639750999999997, -122.408979)"
"Aid Response" 6 "(47.673864999999999, -122.35437)"
"Aid Response" 6 "(47.532043000000002, -122.39078000000001)"
"Aid Response" 6 "(47.665705000000003, -122.37621900000001)"
"Aid Response" 6 "(47.676895000000002, -122.34990000000001)"
"Motor Vehicle Accident Freeway" 6 "(47.566974000000002, -122.32047)"
"Aid Response" 6 "(47.601719000000003, -122.33198400000001)"
"Aid Response" 6 "(47.602172000000003, -122.33086299999999)"
"Aid Response" 6 "(47.665134000000002, -122.31307099999999)"
"Auto Fire Alarm" 6 "(47.605125999999998, -122.330494)"
"Medic Response" 6 "(47.664392999999997, -122.28335300000001)"
"Medic Response" 6 "(47.723218000000003, -122.348195)"
"Aid Response" 6 "(47.620986000000002, -122.30734200000001)"
"Food On The Stove" 6 "(47.560225000000003, -122.364221)"
"Aid Response" 6 "(47.618693, -122.334256)"
"1RED 1 Unit" 6 "(47.560225000000003, -122.364221)"
"Medic Response" 6 "(47.718004999999998, -122.312631)"
"Auto Fire Alarm" 6 "(47.573582999999999, -122.389421)"
"Medic Response" 6 "(47.732329, -122.33286699999999)"
"Aid Response" 6 "(47.726854000000003, -122.337217)"
"Aid Response" 6 "(47.598331000000002, -122.313278)"
"Aid Response" 6 "(47.575574000000003, -122.32999100000001)"
"Aid Response" 6 "(47.567683000000002, -122.35803900000001)"
"Medic Response" 6 "(47.511603000000001, -122.37832899999999)"
"Aid Response" 6 "(47.625442999999997, -122.352785)"
"Aid Response" 6 "(47.527316999999996, -122.323736)"
"Motor Vehicle Accident" 6 "(47.585535999999998, -122.31467600000001)"
"Medic Response" 6 "(47.564712999999998, -122.370982)"
"Auto Fire Alarm" 6 "(47.610149999999997, -122.333556)"
"Aid Response" 6 "(47.692774, -122.35532499999999)"
"Motor Vehicle Accident" 6 "(47.579810000000002, -122.333269)"
"Aid Response" 6 "(47.721091999999999, -122.29589199999999)"
"1RED 1 Unit" 6 "(47.723218000000003, -122.348195)"
"Aid Response" 6 "(47.614071000000003, -122.337773)"
"Aid Response" 6 "(47.596674, -122.325245)"
"Aid Response" 6 "(47.626322000000002, -122.34886299999999)"
"Aid Response" 6 "(47.599189000000003, -122.317223)"
"Medic Response" 6 "(47.523310000000002, -122.27275400000001)"
"Trans to AMR" 6 "(47.608227999999997, -122.33486600000001)"
"""Medic Response" 6 "(47.602347999999999, -122.337148)"
"Aid Response" 6 "(47.636468999999998, -122.277119)"
"Auto Fire Alarm" 6 "(47.585746999999998, -122.334198)"
"Motor Vehicle Accident" 6 "(47.531058999999999, -122.27816300000001)"
"Medic Response" 6 "(47.646743000000001, -122.387462)"
"Medic Response" 6 "(47.560518000000002, -122.307945)"
"Aid Response" 6 "(47.611207, -122.337592)"
"Aid Response" 6 "(47.621983, -122.319924)"
"Rescue Elevator" 6 "(47.73104, -122.347764)"
"Aid Response" 6 "(47.601785, -122.33417900000001)"
"Medic Response" 6 "(47.551999000000002, -122.39505200000001)"
"Motor Vehicle Accident" 6 "(47.588312999999999, -122.395504)"
"Auto Fire Alarm" 6 "(47.661386, -122.338313)"
"Medic Response" 6 "(47.572163000000003, -122.296173)"
"Aid Response" 6 "(47.653815000000002, -122.32457700000001)"
"Motor Vehicle Accident" 6 "(47.534061000000001, -122.352943)"
"Aid Response" 6 "(47.549608999999997, -122.373668)"
"Single Medic Unit" 6 "(47.603588000000002, -122.32294899999999)"
"Medic Response" 6 "(47.640625, -122.31287500000001)"
"Aid Response" 6 "(47.690894, -122.27051)"
"""Hang-Up" 6 "(47.611694, -122.324223)"
"Aid Response" 6 "(47.559105000000002, -122.37885)"
"Auto Fire Alarm" 6 "(47.594149999999999, -122.32905)"
"Medic Response" 6 "(47.723222999999997, -122.351624)"
"Aid Response" 6 "(47.586205, -122.321393)"
"Aid Response" 6 "(47.616736000000003, -122.32344000000001)"
"Medic Response Freeway" 6 "(47.509965000000001, -122.28336299999999)"
"Medic Response" 6 "(47.668765, -122.295064)"
"Medic Response" 6 "(47.538902, -122.29322500000001)"
"Motor Vehicle Accident Freeway" 6 "(47.643234, -122.323195)"
"Rescue Elevator" 6 "(47.607461000000001, -122.32495900000001)"
"Aid Response Yellow" 6 "(47.715831999999999, -122.301807)"
"Medic Response Freeway" 6 "(47.677318, -122.321004)"
"Auto Fire Alarm" 6 "(47.597822000000001, -122.30115600000001)"
"Aid Response" 6 "(47.602482000000002, -122.33726799999999)"
"Aid Response" 6 "(47.653979, -122.38461599999999)"
"Natural Gas Odor" 6 "(47.509444999999999, -122.258363)"
"Aid Response" 6 "(47.713673999999997, -122.283846)"
"Natural Gas Odor" 6 "(47.616495999999998, -122.28911600000001)"
"Illegal Burn" 6 "(47.578853000000002, -122.29619)"
"Aid Response" 6 "(47.623716999999999, -122.360635)"
"Aid Response" 6 "(47.554937000000002, -122.282393)"
"Aid Response" 6 "(47.661670000000001, -122.319564)"
"Aid Response" 6 "(47.694335000000002, -122.372756)"
"Motor Vehicle Accident Freeway" 6 "(47.597766, -122.335465)"
"Medic Response" 6 "(47.697867000000002, -122.36701600000001)"
"Aid Response" 6 "(47.602984999999997, -122.328535)"
"Auto Fire Alarm" 6 "(47.605147000000002, -122.30279)"
"Brush Fire" 6 "(47.606175999999998, -122.30277700000001)"
"Aid Response" 6 "(47.710968999999999, -122.32601699999999)"
"Aid Response" 6 "(47.528962999999997, -122.26922999999999)"
"Aid Response" 6 "(47.609878000000002, -122.33484199999999)"
"Aid Response Yellow" 6 "(47.626322000000002, -122.34886299999999)"
"Automatic Fire Alarm Resd" 6 "(47.615231999999999, -122.28267099999999)"
"Aid Response" 6 "(47.591952999999997, -122.325968)"
"Medic Response" 6 "(47.602347999999999, -122.337148)"
"Automatic Fire Alarm Resd" 6 "(47.615231999999999, -122.28267099999999)"
"Trans to AMR" 6 "(47.639592, -122.387665)"
"Aid Response" 6 "(47.690955000000002, -122.37546399999999)"
"Aid Response" 6 "(47.646586999999997, -122.381974)"
"Aid Response" 6 "(47.615659000000001, -122.31816600000001)"
"Aid Response" 6 "(47.615245000000002, -122.31946499999999)"
"Auto Fire Alarm" 6 "(47.619945999999999, -122.358052)"
"Trans to AMR" 0 "(47.537036999999998, -122.28450599999999)"
"Aid Response" 0 "(47.595740999999997, -122.325068)"
"Rescue Elevator" 0 "(47.610770000000002, -122.32643299999999)"
"Automatic Medical Alarm" 0 "(47.689678000000001, -122.322991)"
"Medic Response" 0 "(47.663105999999999, -122.315263)"
"Medic Response" 0 "(47.72343, -122.34816499999999)"
"Aid Response" 0 "(47.610387000000003, -122.34119800000001)"
"Aid Response" 0 "(47.592396000000001, -122.33419499999999)"
"Aid Response" 0 "(47.517361000000001, -122.356511)"
"Aid Response" 0 "(47.659793000000001, -122.312994)"
"EVENT - Special Event" 0 "(47.595692999999997, -122.33327300000001)"
"Aid Response" 0 "(47.652158999999997, -122.35409199999999)"
"Aid Response" 0 "(47.620716000000002, -122.34760300000001)"
"Alarm Bell" 0 "(47.542842999999998, -122.3728)"
"Aid Response" 0 "(47.571677999999999, -122.329103)"
"""Medic Response" 0 "(47.665669000000001, -122.300628)"
"Motor Vehicle Accident Freeway" 0 "(47.610900000000001, -122.345539)"
"Aid Response" 0 "(47.728254999999997, -122.347731)"
"1RED 1 Unit" 0 "(47.634360999999998, -122.302976)"
"Aid Response" 0 "(47.509829000000003, -122.381508)"
"Aid Response" 0 "(47.664917000000003, -122.31518699999999)"
"Aid Response" 0 "(47.618001999999997, -122.329183)"
"Aid Response" 0 "(47.719279, -122.295233)"
"Auto Fire Alarm" 0 "(47.611556999999998, -122.330191)"
"Trans to AMR" 0 "(47.681050999999997, -122.349329)"
"Auto Fire Alarm" 0 "(47.56409, -122.27798900000001)"
"Aid Response" 0 "(47.703180000000003, -122.328526)"
"Aid Response" 0 "(47.606175, -122.310022)"
"Automatic Fire Alarm Resd" 0 "(47.520538000000002, -122.351707)"
"Auto Fire Alarm" 0 "(47.67595, -122.329611)"
"""Medic Response" 0 "(47.588026999999997, -122.38627700000001)"
"Auto Fire Alarm" 0 "(47.564222000000001, -122.38677300000001)"
"Auto Fire Alarm" 0 "(47.615913999999997, -122.348823)"
"Medic Response" 0 "(47.545476000000001, -122.370316)"
"Aid Response Yellow" 0 "(47.708655999999998, -122.3329)"
"Automatic Fire Alarm Resd" 0 "(47.571624999999997, -122.388102)"
"Auto Fire Alarm" 0 "(47.611556999999998, -122.330191)"
"Medic Response" 0 "(47.520671, -122.36589600000001)"
"Aid Response Yellow" 0 "(47.605164000000002, -122.28546799999999)"
"Aid Response" 0 "(47.732151000000002, -122.31541799999999)"
"Motor Vehicle Accident" 0 "(47.663257999999999, -122.31742199999999)"
"Medic Response" 0 "(47.600194000000002, -122.330541)"
"Motor Vehicle Accident" 0 "(47.537042, -122.28129300000001)"
"Auto Fire Alarm" 0 "(47.723222999999997, -122.351624)"
"Aid Response" 0 "(47.616467, -122.349757)"
"Aid Response" 0 "(47.609878000000002, -122.33484199999999)"
"Aid Response" 0 "(47.527886000000002, -122.288016)"
"Auto Fire Alarm" 0 "(47.605147000000002, -122.30279)"
"Aid Response" 0 "(47.705125000000002, -122.30432500000001)"
"Motor Vehicle Accident Freeway" 0 "(47.577176000000001, -122.319669)"
"Aid Response Yellow" 0 "(47.657761000000001, -122.354448)"
"Aid Response" 0 "(47.662126999999998, -122.336426)"
"Medic Response" 0 "(47.654394000000003, -122.39692700000001)"
"Medic Response" 0 "(47.661268999999997, -122.31304900000001)"
"Aid Response" 0 "(47.709488, -122.323301)"
"Medic Response" 0 "(47.662880000000001, -122.35397399999999)"
"""Medic Response" 0 "(47.535387, -122.267284)"
"Aid Response" 0 "(47.553407999999997, -122.283491)"
"Aid Response" 0 "(47.676074, -122.28222700000001)"
"Motor Vehicle Accident" 0 "(47.733829, -122.30194)"
"Medic Response" 0 "(47.596499000000001, -122.322456)"
"Aid Response" 0 "(47.589841, -122.337638)"
"Aid Response" 0 "(47.610010000000003, -122.29623100000001)"
"Medic Response" 0 "(47.606628000000001, -122.31285699999999)"
"Medic Response" 0 "(47.650528999999999, -122.38467199999999)"
"Aid Response" 0 "(47.625377, -122.311307)"
"Unk Odor" 0 "(47.732802, -122.345082)"
"Trans to AMR" 0 "(47.599201000000001, -122.31544599999999)"
"Aid Response" 0 "(47.658940000000001, -122.32383900000001)"
"Alarm Bell" 0 "(47.683047999999999, -122.295852)"
"Aid Response" 0 "(47.660339, -122.34055600000001)"
"Motor Vehicle Accident" 0 "(47.609684999999999, -122.334666)"
"Fire in Single Family Res" 0 "(47.533631, -122.357736)"
"""Medic Response" 0 "(47.599189000000003, -122.317223)"
"Medic Response" 0 "(47.588312000000002, -122.298051)"
"Aid Response" 0 "(47.705067999999997, -122.349948)"
"""Medic Response" 0 "(47.627996000000003, -122.342319)"
"Auto Fire Alarm" 0 "(47.584234000000002, -122.299024)"
"Automatic Fire Alarm Resd" 0 "(47.613208999999998, -122.30623799999999)"
"Trans to AMR" 0 "(47.612177000000003, -122.31934800000001)"
"Auto Fire Alarm" 0 "(47.615913999999997, -122.348823)"
"Aid Response" 0 "(47.524310999999997, -122.346734)"
"Aid Response" 0 "(47.599195000000002, -122.31639699999999)"
"Trans to AMR" 0 "(47.557049999999997, -122.28812499999999)"
"Aid Response" 0 "(47.686222999999998, -122.346653)"
"Medic Response" 0 "(47.705159000000002, -122.359438)"
"Aid Response" 0 "(47.565516000000002, -122.289675)"
"Aid Response" 0 "(47.532071999999999, -122.359094)"
"Aid Response" 0 "(47.605201999999998, -122.319267)"
"Auto Fire Alarm" 0 "(47.605147000000002, -122.30279)"
"Automatic Fire Alarm Resd" 0 "(47.551946999999998, -122.381654)"
"Medic Response" 0 "(47.667157000000003, -122.37117000000001)"
"Medic Response" 0 "(47.535514999999997, -122.36216)"
"Aid Response" 0 "(47.657805000000003, -122.367273)"
"Aid Response" 0 "(47.596676000000002, -122.32637)"
"Auto Fire Alarm" 0 "(47.722081000000003, -122.34036500000001)"
"Aid Response" 0 "(47.609442000000001, -122.32489)"
"Aid Response" 0 "(47.615265000000001, -122.341775)"
"Motor Vehicle Accident" 0 "(47.537049000000003, -122.28073500000001)"
"Motor Vehicle Accident" 0 "(47.694974000000002, -122.37679799999999)"
"Motor Vehicle Accident" 0 "(47.580719000000002, -122.29995700000001)"
"Aid Response" 0 "(47.614088000000002, -122.32682)"
"Trans to AMR" 0 "(47.644953000000001, -122.39024499999999)"
"Aid Response" 0 "(47.608665000000002, -122.329131)"
"Aid Response" 0 "(47.606088, -122.332909)"
"Aid Response" 0 "(47.606088, -122.332909)"
"Aid Response" 0 "(47.602164999999999, -122.330856)"
"Auto Fire Alarm" 0 "(47.609827000000003, -122.334796)"
"Aid Response" 0 "(47.692751999999999, -122.34959600000001)"
"Motor Vehicle Accident" 0 "(47.551175999999998, -122.277664)"
"Automatic Fire Alarm Resd" 0 "(47.504595000000002, -122.267501)"
"Auto Fire Alarm" 0 "(47.667251999999998, -122.38005200000001)"
"Aid Response" 0 "(47.623548999999997, -122.342358)"
"Natural Gas Odor" 0 "(47.607945000000001, -122.32847099999999)"
"Medic Response" 0 "(47.665506000000001, -122.38213399999999)"
"""Hang-Up" 0 "(47.637065, -122.30153)"
"Automatic Fire Alarm Resd" 0 "(47.626866999999997, -122.282629)"
"Aid Response Yellow" 0 "(47.690570000000001, -122.34685399999999)"
"Aid Response" 0 "(47.570084000000001, -122.36202900000001)"
"Aid Response" 0 "(47.715046999999998, -122.344858)"
"Auto Fire Alarm" 0 "(47.611556999999998, -122.330191)"
"Rescue Automobile" 0 "(47.729646000000002, -122.35556099999999)"
"Aid Response" 0 "(47.615850000000002, -122.336428)"
"Aid Response" 0 "(47.690649000000001, -122.36744299999999)"
"Aid Response" 0 "(47.601686000000001, -122.31267699999999)"
"Auto Fire Alarm" 0 "(47.723222999999997, -122.351624)"
"Medic Response" 0 "(47.679470000000002, -122.317413)"
"Auto Fire Alarm" 0 "(47.609160000000003, -122.33264)"
"Motor Vehicle Accident" 0 "(47.599189000000003, -122.32375)"
"Medic Response" 0 "(47.575282999999999, -122.329059)"
"Aid Response" 0 "(47.704379000000003, -122.35835899999999)"
"Aid Response" 0 "(47.659443000000003, -122.304293)"
"Auto Fire Alarm" 0 "(47.608725, -122.340242)"
"Aid Response" 0 "(47.558604000000003, -122.276966)"
"Motor Vehicle Accident Freeway" 0 "(47.571480999999999, -122.363499)"
"Aid Response" 0 "(47.612071, -122.332244)"
"Aid Response" 0 "(47.588225000000001, -122.32139100000001)"
"Aid Response" 0 "(47.606088, -122.332909)"
"Auto Fire Alarm" 0 "(47.608927999999999, -122.33704299999999)"
"Aid Response" 0 "(47.614088000000002, -122.32682)"
"Natural Gas Odor" 0 "(47.685004999999997, -122.311042)"
"Motor Vehicle Accident" 0 "(47.705050999999997, -122.344694)"
"Aid Response" 0 "(47.627265999999999, -122.365008)"
"Aid Response" 0 "(47.594071999999997, -122.31014999999999)"
"Aid Response" 0 "(47.670175, -122.378984)"
"1RED 1 Unit" 0 "(47.548769999999998, -122.309915)"
"Medic Response" 0 "(47.723436, -122.355547)"
"Aid Response" 0 "(47.561926, -122.376204)"
"Aid Response" 0 "(47.667977999999998, -122.30061600000001)"
"Aid Response Yellow" 0 "(47.556657000000001, -122.364265)"
"Aid Response" 0 "(47.673082999999998, -122.36941)"
"Aid Response" 0 "(47.612253000000003, -122.323199)"
"Aid Response" 0 "(47.733775000000001, -122.29512099999999)"
"Aid Response" 0 "(47.542465999999997, -122.27501100000001)"
"Automatic Fire Alarm Resd" 0 "(47.716535, -122.356981)"
"Medic Response" 0 "(47.522455999999998, -122.36187200000001)"
"Automatic Fire Alarm False" 0 "(47.605193999999997, -122.302803)"
"Auto Fire Alarm" 0 "(47.594149999999999, -122.32905)"
"Aid Response" 0 "(47.623517, -122.356718)"
"Aid Response" 0 "(47.661625999999998, -122.28653199999999)"
"Aid Response" 0 "(47.625957999999997, -122.334541)"
"Auto Fire Alarm" 0 "(47.609402000000003, -122.332864)"
"Aid Response Yellow" 0 "(47.661625999999998, -122.28653199999999)"
"Rescue Elevator" 0 "(47.616402999999998, -122.32081700000001)"
"Aid Response" 0 "(47.698183, -122.360709)"
"Aid Response" 0 "(47.733753, -122.292433)"
"Aid Response" 0 "(47.602691999999998, -122.320386)"
"1RED 1 Unit" 0 "(47.546981000000002, -122.307937)"
"Aid Response" 0 "(47.636429, -122.364992)"
"Aid Response" 0 "(47.649276, -122.333899)"
"Auto Fire Alarm" 0 "(47.611556999999998, -122.330191)"
"Medic Response" 0 "(47.647776999999998, -122.358547)"
"Aid Response" 0 "(47.553694, -122.370929)"
"Aid Response" 0 "(47.612625999999999, -122.34127700000001)"
"Rescue Water" 0 "(47.649410000000003, -122.29933200000001)"
"Trans to AMR" 0 "(47.644953000000001, -122.39024499999999)"
"Aid Response" 0 "(47.614317, -122.316839)"
"Aid Response" 0 "(47.71049, -122.326004)"
"Aid Response" 0 "(47.617708999999998, -122.330044)"
"Auto Fire Alarm" 0 "(47.661386, -122.338313)"
